event_date,event_date,event_name,event_time,user_id
18 Jun 2023,1,7,"9,646,770,290,098,844","1,824"
19 Jun 2023,1,7,"9,323,308,949,331,288","1,811"
20 Jun 2023,1,7,"7,164,117,348,620,324","1,404"
21 Jun 2023,1,6,"7,449,640,315,958,423","1,419"
22 Jun 2023,1,6,"5,909,393,411,100,355","1,225"
23 Jun 2023,1,6,"5,096,317,088,632,255","1,033"
24 Jun 2023,1,6,"5,182,638,824,860,329","1,022"
25 Jun 2023,1,7,"5,306,109,873,590,631","1,062"
26 Jun 2023,1,7,"5,174,740,092,281,127","1,021"
27 Jun 2023,1,7,"5,512,576,323,464,024","1,049"
28 Jun 2023,1,7,"5,369,386,089,901,073","1,110"
29 Jun 2023,1,7,"5,892,940,147,665,298","1,196"
30 Jun 2023,1,7,"5,272,007,101,167,543","1,029"
1 Jul 2023,1,6,"5,052,824,848,682,326","1,010"
2 Jul 2023,1,6,"4,555,011,808,970,436",904
3 Jul 2023,1,6,"4,678,530,105,857,943",941
4 Jul 2023,1,7,"6,112,285,874,616,310","1,232"
5 Jul 2023,1,7,"5,242,967,668,217,963","1,040"
6 Jul 2023,1,7,"4,660,649,746,261,830",899
7 Jul 2023,1,6,"4,063,089,637,837,703",833
8 Jul 2023,1,6,"4,683,089,466,514,000",931
9 Jul 2023,1,7,"5,316,654,610,033,480","1,046"
10 Jul 2023,1,7,"5,972,280,518,332,635","1,168"
11 Jul 2023,1,7,"5,780,023,162,517,683","1,120"
12 Jul 2023,1,7,"5,001,608,947,143,451","1,008"
13 Jul 2023,1,7,"4,758,615,960,916,516",976
14 Jul 2023,1,6,"3,682,747,937,732,620",772
15 Jul 2023,1,7,"4,688,152,794,572,013",914
16 Jul 2023,1,6,"4,127,468,829,670,202",846
17 Jul 2023,1,7,"4,051,640,786,603,570",809
18 Jul 2023,1,7,"4,148,176,830,768,276",835
19 Jul 2023,1,7,"4,712,766,116,851,623",950
20 Jul 2023,1,6,"4,199,284,734,939,414",861
21 Jul 2023,1,6,"3,864,892,403,091,252",787
22 Jul 2023,1,7,"12,830,779,501,023,104","2,314"
23 Jul 2023,1,6,"21,848,216,025,641,804","3,831"
24 Jul 2023,1,6,"26,062,899,088,295,730","4,422"
25 Jul 2023,1,6,"25,585,902,617,278,740","4,329"
26 Jul 2023,1,7,"23,022,897,909,030,948","3,949"
27 Jul 2023,1,7,"23,311,441,975,574,236","4,039"
28 Jul 2023,1,7,"19,382,116,575,729,350","3,433"
29 Jul 2023,1,7,"19,518,375,671,772,188","3,429"
30 Jul 2023,1,6,"16,310,304,083,482,544","2,804"
31 Jul 2023,1,7,"10,369,781,222,728,240","1,878"
1 Aug 2023,1,7,"16,323,817,791,576,644","2,802"
2 Aug 2023,1,7,"6,865,419,691,357,159","1,336"
3 Aug 2023,1,6,"17,784,931,563,465,662","3,063"
4 Aug 2023,1,7,"19,526,061,135,589,388","3,359"
5 Aug 2023,1,6,"17,974,484,556,113,962","3,250"
6 Aug 2023,1,7,"17,303,939,419,763,322","3,096"
7 Aug 2023,1,7,"17,193,194,710,310,820","3,071"
8 Aug 2023,1,6,"16,517,476,197,820,768","2,968"
9 Aug 2023,1,7,"14,293,871,702,035,368","2,610"
10 Aug 2023,1,7,"12,900,671,302,895,800","2,398"
11 Aug 2023,1,7,"12,588,357,983,959,996","2,295"
12 Aug 2023,1,6,"12,792,019,522,855,336","2,302"
13 Aug 2023,1,7,"13,731,699,969,967,268","2,498"
14 Aug 2023,1,6,"17,485,268,655,696,172","3,002"
15 Aug 2023,1,7,"18,117,316,470,127,440","3,104"
